,iid,id,gender,partner,pid,match,int_corr,samerace,age_o,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,iid,id,gender,partner,pid,match,int_corr,samerace,age_o,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob
0,2.0,2.0,0.0,5.0,15.0,0.0,0.32,0.0,24.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,10.0,8.0,3.0,0.0,6.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0,15.0,5.0,1.0,2.0,2.0,0.0,0.32,0.0,24.0,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,9.0,9.0,1.0,10.0,10.0,10.0,10.0,7.0,8.0,10.0,1.0
0,2.0,2.0,0.0,6.0,16.0,0.0,0.73,1.0,25.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,10.0,8.0,3.0,0.0,8.0,7.0,8.0,3.0,6.0,2.0,6.0,5.0,16.0,6.0,1.0,2.0,2.0,0.0,0.73,1.0,24.0,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,6.0,1.0,7.0,8.0,7.0,5.0,7.0,7.0,7.0,5.0
0,2.0,2.0,0.0,7.0,17.0,0.0,0.6,1.0,30.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,10.0,8.0,3.0,1.0,7.0,5.0,9.0,6.0,7.0,9.0,8.0,7.0,17.0,7.0,1.0,2.0,2.0,0.0,0.6,1.0,24.0,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0,7.0,7.0,6.0,8.0,4.0,0.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0
0,2.0,2.0,0.0,8.0,18.0,0.0,0.07,1.0,27.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,10.0,8.0,3.0,0.0,5.0,8.0,7.0,5.0,9.0,5.0,5.0,6.0,18.0,8.0,1.0,2.0,2.0,0.0,0.07,1.0,24.0,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0,6.0,8.0,6.0,8.0,9.0,1.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0
0,2.0,2.0,0.0,9.0,19.0,1.0,0.11,1.0,28.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,10.0,8.0,3.0,1.0,7.0,6.0,8.0,9.0,4.0,5.0,5.0,6.0,19.0,9.0,1.0,2.0,2.0,1.0,0.11,1.0,24.0,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0,10.0,6.0,10.0,10.0,10.0,1.0,8.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0
0,2.0,2.0,0.0,10.0,20.0,0.0,0.39,1.0,24.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,10.0,8.0,3.0,1.0,6.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,20.0,10.0,1.0,2.0,2.0,0.0,0.39,1.0,24.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,10.0,0.0,6.0,5.0,7.0,7.0,9.0,7.0,6.0,9.0
0,3.0,3.0,0.0,1.0,11.0,0.0,-0.24,1.0,27.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,11.0,1.0,1.0,3.0,3.0,0.0,-0.24,1.0,25.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,0.0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0
0,3.0,3.0,0.0,2.0,12.0,0.0,-0.14,1.0,22.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,12.0,2.0,1.0,3.0,3.0,0.0,-0.14,1.0,25.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0,9.0,9.0,9.0,10.0,9.0,0.0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,3.0
0,3.0,3.0,0.0,3.0,13.0,0.0,0.09,0.0,22.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0,13.0,3.0,1.0,3.0,3.0,0.0,0.09,0.0,25.0,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0,4.0,7.0,8.0,8.0,3.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0,3.0,3.0,0.0,4.0,14.0,0.0,-0.04,1.0,23.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,14.0,4.0,1.0,3.0,3.0,0.0,-0.04,1.0,25.0,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0,9.0,9.0,9.0,9.0,9.0,1.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0
0,3.0,3.0,0.0,5.0,15.0,0.0,-0.14,0.0,24.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,0.0,15.0,5.0,1.0,3.0,3.0,0.0,-0.14,0.0,25.0,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,9.0,9.0,1.0,6.0,10.0,8.0,6.0,0.0,0.0,6.0,1.0
0,3.0,3.0,0.0,6.0,16.0,0.0,-0.3,1.0,25.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,8.0,10.0,10.0,7.0,9.0,9.0,8.0,0.0,16.0,6.0,1.0,3.0,3.0,0.0,-0.3,1.0,25.0,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,6.0,1.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
0,3.0,3.0,0.0,7.0,17.0,0.0,-0.26,1.0,30.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,8.0,9.0,10.0,7.0,7.0,9.0,8.0,7.0,17.0,7.0,1.0,3.0,3.0,0.0,-0.26,1.0,25.0,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0,7.0,7.0,6.0,8.0,4.0,0.0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0
0,3.0,3.0,0.0,8.0,18.0,0.0,0.29,1.0,27.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,7.0,9.0,9.0,8.0,9.0,7.0,8.0,7.0,18.0,8.0,1.0,3.0,3.0,0.0,0.29,1.0,25.0,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0,6.0,8.0,6.0,8.0,9.0,0.0,4.0,5.0,6.0,4.0,6.0,4.0,5.0,1.0
0,3.0,3.0,0.0,9.0,19.0,0.0,-0.15,1.0,28.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,19.0,9.0,1.0,3.0,3.0,0.0,-0.15,1.0,25.0,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0,10.0,6.0,10.0,10.0,10.0,1.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0
0,3.0,3.0,0.0,10.0,20.0,0.0,-0.47,1.0,24.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,20.0,10.0,1.0,3.0,3.0,0.0,-0.47,1.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,10.0,0.0,5.0,6.0,8.0,5.0,8.0,6.0,5.0,5.0
0,4.0,4.0,0.0,1.0,11.0,0.0,-0.18,1.0,27.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,0.0,4.0,10.0,8.0,5.0,8.0,7.0,6.0,7.0,11.0,1.0,1.0,4.0,4.0,0.0,-0.18,1.0,23.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,0.0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0
0,4.0,4.0,0.0,2.0,12.0,0.0,-0.18,1.0,22.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,0.0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,1.0,12.0,2.0,1.0,4.0,4.0,0.0,-0.18,1.0,23.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0,9.0,9.0,9.0,10.0,9.0,0.0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,3.0
0,4.0,4.0,0.0,3.0,13.0,0.0,0.05,0.0,22.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,0.0,4.0,7.0,8.0,8.0,6.0,7.0,4.0,1.0,13.0,3.0,1.0,4.0,4.0,0.0,0.05,0.0,23.0,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0,4.0,7.0,8.0,8.0,3.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0,4.0,4.0,0.0,4.0,14.0,1.0,-0.18,1.0,23.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,8.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0,14.0,4.0,1.0,4.0,4.0,1.0,-0.18,1.0,23.0,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0,9.0,9.0,9.0,9.0,9.0,1.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0
0,4.0,4.0,0.0,5.0,15.0,0.0,0.21,0.0,24.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,0.0,6.0,9.0,8.0,9.0,8.0,9.0,7.0,7.0,15.0,5.0,1.0,4.0,4.0,0.0,0.21,0.0,23.0,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,9.0,9.0,1.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0
0,4.0,4.0,0.0,6.0,16.0,0.0,0.37,1.0,25.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,0.0,5.0,10.0,8.0,4.0,8.0,2.0,4.0,3.0,16.0,6.0,1.0,4.0,4.0,0.0,0.37,1.0,23.0,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,6.0,1.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0
0,4.0,4.0,0.0,7.0,17.0,0.0,0.35,1.0,30.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,0.0,7.0,10.0,10.0,7.0,10.0,5.0,5.0,1.0,17.0,7.0,1.0,4.0,4.0,0.0,0.35,1.0,23.0,35.0,15.0,25.0,10.0,5.0,10.0,25.0,20.0,20.0,20.0,10.0,5.0,7.0,7.0,6.0,8.0,4.0,1.0,7.0,6.0,3.0,5.0,6.0,5.0,6.0,4.0
0,4.0,4.0,0.0,8.0,18.0,0.0,0.15,1.0,27.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,0.0,5.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0,18.0,8.0,1.0,4.0,4.0,0.0,0.15,1.0,23.0,33.33,11.11,11.11,11.11,11.11,22.22,10.0,10.0,20.0,25.0,25.0,10.0,6.0,8.0,6.0,8.0,9.0,0.0,6.0,7.0,8.0,6.0,6.0,5.0,7.0,7.0
0,4.0,4.0,0.0,9.0,19.0,1.0,-0.47,1.0,28.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,8.0,19.0,9.0,1.0,4.0,4.0,1.0,-0.47,1.0,23.0,50.0,0.0,25.0,10.0,0.0,15.0,40.0,15.0,20.0,10.0,10.0,5.0,10.0,6.0,10.0,10.0,10.0,1.0,7.0,7.0,7.0,10.0,9.0,10.0,8.0,8.0
0,4.0,4.0,0.0,10.0,20.0,0.0,-0.19,1.0,24.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,1.0,8.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,20.0,10.0,1.0,4.0,4.0,0.0,-0.19,1.0,23.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,10.0,0.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0
0,5.0,5.0,0.0,1.0,11.0,0.0,-0.43,1.0,27.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,6.0,3.0,6.0,10.0,8.0,0.0,5.0,8.0,8.0,2.0,2.0,2.0,7.0,5.0,11.0,1.0,1.0,5.0,5.0,0.0,-0.43,1.0,21.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,0.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0
0,5.0,5.0,0.0,2.0,12.0,0.0,0.0,1.0,22.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,6.0,3.0,6.0,10.0,8.0,0.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,12.0,2.0,1.0,5.0,5.0,0.0,0.0,1.0,21.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0,9.0,9.0,9.0,10.0,9.0,0.0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,4.0
0,5.0,5.0,0.0,3.0,13.0,0.0,-0.17,0.0,22.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,6.0,3.0,6.0,10.0,8.0,0.0,4.0,6.0,8.0,8.0,6.0,5.0,6.0,5.0,13.0,3.0,1.0,5.0,5.0,0.0,-0.17,0.0,21.0,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0,4.0,7.0,8.0,8.0,3.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0,5.0,5.0,0.0,4.0,14.0,1.0,0.08,1.0,23.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,6.0,3.0,6.0,10.0,8.0,1.0,8.0,5.0,5.0,7.0,7.0,9.0,8.0,2.0,14.0,4.0,1.0,5.0,5.0,1.0,0.08,1.0,21.0,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0,9.0,9.0,9.0,9.0,9.0,1.0,6.0,8.0,6.0,8.0,10.0,10.0,7.0,7.0
0,5.0,5.0,0.0,5.0,15.0,0.0,-0.16,0.0,24.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,6.0,3.0,6.0,10.0,8.0,0.0,6.0,7.0,7.0,5.0,4.0,8.0,7.0,4.0,15.0,5.0,1.0,5.0,5.0,0.0,-0.16,0.0,21.0,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,9.0,9.0,0.0,5.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0
0,5.0,5.0,0.0,6.0,16.0,0.0,0.06,1.0,25.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,6.0,3.0,6.0,10.0,8.0,1.0,5.0,6.0,7.0,5.0,7.0,8.0,7.0,3.0,16.0,6.0,1.0,5.0,5.0,0.0,0.06,1.0,21.0,50.0,0.0,30.0,10.0,0.0,10.0,50.0,5.0,30.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,6.0,0.0,5.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0
