iid,id,gender,partner,pid,match,int_corr,samerace,age_o,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob
2,2,0,4,14,1,-0.21,1,23,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,7,9,7,6,5,7,7,8
2,2,0,5,15,0,0.32,0,24,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,6,8,7,9,7,8,8,6
2,2,0,6,16,0,0.73,1,25,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,8,7,8,3,6,2,6,5
2,2,0,7,17,0,0.6,1,30,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,7,5,9,6,7,9,8,7
2,2,0,8,18,0,0.07,1,27,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,0,5,8,7,5,9,5,5,6
2,2,0,9,19,1,0.11,1,28,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,7,6,8,9,4,5,5,6
2,2,0,10,20,0,0.39,1,24,45,5,25,20,0,5,65,0,10,25,0,0,7,5,10,8,3,1,6,7,8,7,9,8,8,7
3,3,0,1,11,0,-0.24,1,27,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,7,9,10,7,8,9,8,7
3,3,0,2,12,0,-0.14,1,22,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,9,7,9,8,9,7,8,7
3,3,0,3,13,0,0.09,0,22,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,7,9,9,7,9,7,8,7
3,3,0,4,14,0,-0.04,1,23,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,9,7,9,7,9,7,8,7
3,3,0,5,15,0,-0.14,0,24,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,9,10,10,10,10,10,9,0
3,3,0,6,16,0,-0.3,1,25,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,8,10,10,7,9,9,8,0
3,3,0,7,17,0,-0.26,1,30,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,8,9,10,7,7,9,8,7
3,3,0,8,18,0,0.29,1,27,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,7,9,9,8,9,7,8,7
3,3,0,9,19,0,-0.15,1,28,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,9,9,9,9,9,9,9,7
3,3,0,10,20,0,-0.47,1,24,35,10,35,10,10,0,50,0,20,30,0,0,8,9,8,9,8,0,8,7,9,7,9,7,8,7
4,4,0,1,11,0,-0.18,1,27,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,4,10,8,5,8,7,6,7
4,4,0,2,12,0,-0.18,1,22,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,8,7,8,10,7,8,8,1
4,4,0,3,13,0,0.05,0,22,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,4,7,8,8,6,7,4,1
4,4,0,4,14,1,-0.18,1,23,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,8,10,7,10,7,10,8,10
4,4,0,5,15,0,0.21,0,24,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,6,9,8,9,8,9,7,7
4,4,0,6,16,0,0.37,1,25,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,5,10,8,4,8,2,4,3
4,4,0,7,17,0,0.35,1,30,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,7,10,10,7,10,5,5,1
4,4,0,8,18,0,0.15,1,27,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,5,9,9,5,9,7,6,6
4,4,0,9,19,1,-0.47,1,28,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,9,8,10,10,7,8,8,8
4,4,0,10,20,0,-0.19,1,24,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,8,9,10,10,8,8,10,8
5,5,0,1,11,0,-0.43,1,27,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,5,8,8,2,2,2,7,5
5,5,0,2,12,0,0,1,22,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,8,6,6,5,5,5,6,4
5,5,0,3,13,0,-0.17,0,22,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,4,6,8,8,6,5,6,5
5,5,0,4,14,1,0.08,1,23,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,8,5,5,7,7,9,8,2
5,5,0,5,15,0,-0.16,0,24,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,6,7,7,5,4,8,7,4
5,5,0,6,16,0,0.06,1,25,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,5,6,7,5,7,8,7,3
5,5,0,7,17,0,-0.05,1,30,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,6,6,8,5,5,6,6,3
5,5,0,8,18,0,0.07,1,27,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,5,5,7,6,7,5,6,4
5,5,0,9,19,1,-0.13,1,28,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,7,5,7,8,7,9,9,4
5,5,0,10,20,0,-0.06,1,24,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,9,6,7,9,6,5,10,3
6,6,0,1,11,0,0.33,0,27,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,6,9,7,6,7,6,6,6
6,6,0,2,12,0,0.37,0,22,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,6,9,9,6,8,2,7,6
6,6,0,3,13,0,-0.51,1,22,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,4,7,9,4,3,2,6,2
6,6,0,4,14,1,0.12,0,23,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,8,6,7,8,2,8,9,4
6,6,0,5,15,0,0.35,0,24,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,5,4,8,8,4,2,4,3
6,6,0,6,16,0,0.19,0,25,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,3,7,6,1,1,1,2,2
6,6,0,7,17,0,0.47,0,30,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,8,8,8,8,3,4,8,7
6,6,0,8,18,0,0.03,0,27,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,4,8,9,2,8,3,5,5
6,6,0,9,19,1,0.46,0,28,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,7,6,8,8,6,9,9,6
6,6,0,10,20,0,0.43,0,24,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,8,9,9,9,10,7,9,8
7,7,0,1,11,0,0.19,0,27,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,4,8,8,5,7,4,7,4
7,7,0,2,12,0,0.21,0,22,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,6,6,8,4,9,4,7,3
7,7,0,3,13,0,0.52,1,22,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,3,6,8,7,8,8,7,8
7,7,0,4,14,1,-0.46,0,23,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,1,7,8,8,7,7,6,8,6
7,7,0,5,15,0,-0.27,0,24,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,4,7,7,4,8,5,5,6
7,7,0,6,16,0,0.59,0,25,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,4,8,7,4,5,4,5,5
7,7,0,7,17,0,0.31,0,30,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,1,7,7,8,7,7,7,8,7
7,7,0,8,18,0,0.08,0,27,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,5,7,8,5,9,5,5,7
7,7,0,9,19,1,-0.34,0,28,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,1,6,6,8,8,8,6,6,6
7,7,0,10,20,0,-0.16,0,24,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,1,8,6,7,7,8,6,7,5
8,8,0,1,11,0,-0.03,1,27,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,5,8,7,4,7,5,4,5
8,8,0,2,12,1,-0.11,1,22,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,8,7,7,9,6,7,8,7
8,8,0,3,13,1,0.42,0,22,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,5,8,8,6,7,7,5,5
8,8,0,4,14,1,-0.4,1,23,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,8,6,5,6,6,5,5,6
8,8,0,5,15,1,-0.23,0,24,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,6,8,8,5,6,7,6,5
8,8,0,6,16,1,0.28,1,25,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,6,8,8,5,6,7,6,5
8,8,0,7,17,0,0.05,1,30,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,6,7,8,5,7,7,6,6
8,8,0,8,18,1,0.17,1,27,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,5,6,7,4,5,6,5,4
8,8,0,9,19,1,-0.47,1,28,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,8,8,5,9,8,9,7,10
8,8,0,10,20,1,-0.21,1,24,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,7,6,8,7,9,8,8,7
9,9,0,1,11,0,0.19,0,27,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,1,8,10,9,8,7,6,5,5
9,9,0,2,12,1,0.03,0,22,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,1,10,10,10,10,10,10,10,5
9,9,0,3,13,1,0.68,0,22,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,1,5,10,10,6,6,6,8,5
9,9,0,4,14,1,-0.26,0,23,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,1,10,9,8,8,7,7,7,5
9,9,0,5,15,1,-0.01,0,24,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,1,5,10,8,8,5,5,5,5
9,9,0,6,16,1,0.42,0,25,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,1,8,9,9,7,6,5,6,5
9,9,0,7,17,1,0.21,0,30,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,1,6,8,9,6,6,6,7,5
9,9,0,8,18,0,0.1,0,27,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,1,6,7,8,7,9,6,7,5
9,9,0,9,19,1,-0.35,0,28,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,1,8,5,5,6,5,5,7,6
9,9,0,10,20,0,-0.23,0,24,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,1,7,8,7,8,7,8,8,5
10,10,0,1,11,0,0.3,1,27,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,0,6,10,10,6,6,0,6,3
10,10,0,2,12,0,0.65,1,22,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,0,1,1,1,1,1,0,1,1
10,10,0,3,13,1,-0.15,0,22,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,1,6,10,10,10,6,0,7,6
10,10,0,4,14,0,0.17,1,23,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,0,10,10,10,10,10,0,10,1
10,10,0,5,15,0,0.24,0,24,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,0,5,7,7,7,7,0,6,1
10,10,0,6,16,0,0.15,1,25,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,0,5,10,6,4,6,0,6,1
10,10,0,7,17,0,0.41,1,30,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,1,5,10,8,6,9,0,7,1
10,10,0,8,18,0,0.07,1,27,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,0,5,6,6,4,5,0,5,5
10,10,0,9,19,1,0.49,1,28,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,1,9,9,9,9,9,9,9,9
10,10,0,10,20,0,0.08,1,24,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,1,9,9,8,10,8,8,9,10
11,1,1,1,1,0,0.14,0,21,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,6,8,8,8,8,6,7,4
11,1,1,2,2,0,0.29,1,24,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,8,7,6,9,7,4,7,2
11,1,1,3,3,0,-0.24,1,25,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,7,8,6,5,8,4,5,2
11,1,1,4,4,0,-0.18,1,23,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,6,7,8,7,7,5,6,3
11,1,1,5,5,0,-0.43,1,21,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,6,8,8,8,7,6,6,5
11,1,1,6,6,0,0.33,0,23,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,7,9,8,9,8,4,7,4
11,1,1,7,7,0,0.19,0,22,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,7,8,8,8,7,7,7,4
11,1,1,8,8,0,-0.03,1,25,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,8,7,6,6,6,5,7,4
11,1,1,9,9,0,0.19,0,26,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,6,8,7,8,7,5,6,4
11,1,1,10,10,0,0.3,1,26,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,7,8,7,8,6,5,6,3
12,2,1,1,1,0,0.54,0,21,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9,0,7,8,10,7,7,5,8,4
12,2,1,2,2,0,0.18,1,24,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9,0,7,6,10,6,6,5,8,4
12,2,1,3,3,0,-0.14,1,25,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9,0,6,7,10,6,6,5,7,3
12,2,1,4,4,0,-0.18,1,23,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9,0,6,5,10,6,6,5,6,3
12,2,1,5,5,0,0,1,21,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9,0,6,7,10,7,6,5,7,4
12,2,1,6,6,0,0.37,0,23,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9,0,6,8,10,6,7,6,7,4
12,2,1,7,7,0,0.21,0,22,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9,1,7,9,10,6,6,5,8,4
12,2,1,8,8,1,-0.11,1,25,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9,1,8,8,10,7,6,5,9,4
12,2,1,9,9,1,0.03,0,26,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9,1,8,8,10,7,6,5,8,4
12,2,1,10,10,0,0.65,1,26,60,0,0,40,0,0,25,15,25,20,15,0,9,9,9,10,9,0,1,1,1,1,1,1,1,1
13,3,1,1,1,1,0.16,1,21,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,1,10,10,10,10,10,10,10,10
13,3,1,2,2,0,0.1,0,24,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,1,10,10,10,10,10,10,10,10
13,3,1,3,3,0,0.09,0,25,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,1,10,10,10,10,10,10,10,10
13,3,1,4,4,0,0.05,0,23,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,1,10,10,10,10,10,10,10,10
13,3,1,5,5,0,-0.17,0,21,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,1,10,10,10,10,10,10,10,10
13,3,1,6,6,0,-0.51,1,23,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,1,10,10,10,10,10,10,10,10
13,3,1,7,7,0,0.52,1,22,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,1,10,10,10,10,10,10,10,10
13,3,1,8,8,1,0.42,0,25,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,1,10,10,10,10,10,10,10,10
13,3,1,9,9,1,0.68,0,26,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,1,10,10,10,10,10,10,10,10
13,3,1,10,10,1,-0.15,0,26,19,18,19,18,14,12,20,16,16,18,16,14,4,7,8,8,3,1,10,10,10,10,10,10,10,10
14,4,1,1,1,1,0.61,0,21,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,9,1,7,8,9,8,9,8,7,7
14,4,1,2,2,1,-0.21,1,24,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,9,1,9,9,9,9,9,9,9,7
14,4,1,3,3,0,-0.04,1,25,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,9,1,7,9,8,8,8,8,7,7
14,4,1,4,4,1,-0.18,1,23,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,9,1,7,7,7,9,9,9,8,10
14,4,1,5,5,1,0.08,1,21,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,9,1,6,8,6,8,10,10,7,7
14,4,1,6,6,1,0.12,0,23,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,9,1,6,8,8,7,9,8,7,7
14,4,1,7,7,1,-0.46,0,22,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,9,1,8,8,9,8,9,9,8,7
14,4,1,8,8,1,-0.4,1,25,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,9,1,8,8,8,8,8,7,8,7
14,4,1,9,9,1,-0.26,0,26,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,9,1,7,8,7,8,8,7,7,7
14,4,1,10,10,0,0.17,1,26,30,5,15,40,5,5,20,15,20,20,5,20,9,9,9,9,9,1,7,8,7,9,8,8,7,7
15,5,1,1,1,1,0.21,0,21,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,1,8,7,9,6,9,7,8,6
15,5,1,2,2,0,0.32,0,24,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,1,10,10,10,10,7,8,10,1
15,5,1,3,3,0,-0.14,0,25,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,1,6,10,8,6,0,0,6,1
15,5,1,4,4,0,0.21,0,23,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,1,8,8,9,8,8,9,9,7
15,5,1,5,5,0,-0.16,0,21,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,0,5,9,9,7,9,5,5,7
15,5,1,6,6,0,0.35,0,23,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,1,9,7,9,7,9,6,9,2
15,5,1,7,7,0,-0.27,0,22,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,1,8,7,9,6,9,5,8,4
15,5,1,8,8,1,-0.23,0,25,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,1,9,9,8,9,0,7,9,7
15,5,1,9,9,1,-0.01,0,26,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,1,7,9,8,9,7,7,7,8
15,5,1,10,10,0,0.24,0,26,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,1,6,9,9,7,8,0,6,6
16,6,1,1,1,0,0.25,0,21,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,6,1,7,7,8,8,7,7,7,6
16,6,1,2,2,0,0.73,1,24,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,6,1,7,8,7,5,7,7,7,5
16,6,1,3,3,0,-0.3,1,25,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,6,1,7,6,6,6,6,6,6,7
16,6,1,4,4,0,0.37,1,23,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,6,1,6,6,7,7,8,7,6,6
16,6,1,5,5,0,0.06,1,21,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,6,0,5,8,7,7,7,7,6,7
16,6,1,6,6,0,0.19,0,23,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,6,1,6,6,8,8,8,7,6,6
16,6,1,7,7,0,0.59,0,22,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,6,1,8,8,8,6,6,6,7,7
16,6,1,8,8,1,0.28,1,25,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,6,1,8,7,7,7,8,7,7,6
16,6,1,9,9,1,0.42,0,26,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,6,1,6,6,7,8,7,7,6,5
16,6,1,10,10,0,0.15,1,26,50,0,30,10,0,10,50,5,30,5,5,5,6,6,8,8,6,0,0,8,7,7,7,7,6,6
17,7,1,1,1,0,0.34,0,21,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,4,0,3,6,7,5,8,7,2,1
17,7,1,2,2,0,0.6,1,24,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,4,0,5,3,4,3,5,3,4,3
17,7,1,3,3,0,-0.26,1,25,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,4,0,6,3,5,4,5,4,2,2
17,7,1,4,4,0,0.35,1,23,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,4,1,7,6,3,5,6,5,6,4
17,7,1,5,5,0,-0.05,1,21,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,4,0,2,3,4,4,5,3,3,3
17,7,1,6,6,0,0.47,0,23,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,4,0,5,6,8,4,5,4,3,3
17,7,1,7,7,0,0.31,0,22,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,4,0,7,6,5,4,4,3,5,4
17,7,1,8,8,0,0.05,1,25,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,4,0,6,4,7,5,6,4,4,4
17,7,1,9,9,1,0.21,0,26,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,4,1,8,6,7,8,6,5,8,4
17,7,1,10,10,0,0.41,1,26,35,15,25,10,5,10,25,20,20,20,10,5,7,7,6,8,4,0,7,7,4,3,4,4,3,6
18,8,1,1,1,0,0.5,0,21,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,0,6,7,5,6,8,6,7,5
18,8,1,2,2,0,0.07,1,24,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,1,7,7,7,7,7,5,7,6
18,8,1,3,3,0,0.29,1,25,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,0,4,5,6,4,6,4,5,1
18,8,1,4,4,0,0.15,1,23,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,0,6,7,8,6,6,5,7,7
18,8,1,5,5,0,0.07,1,21,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,0,5,5,6,5,5,5,6,5
18,8,1,6,6,0,0.03,0,23,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,0,6,7,8,7,8,5,7,6
18,8,1,7,7,0,0.08,0,22,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,1,8,7,6,7,7,5,7,5
18,8,1,8,8,1,0.17,1,25,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,1,9,8,8,8,7,5,7,5
18,8,1,9,9,0,0.1,0,26,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,0,7,7,7,7,6,5,7,5
18,8,1,10,10,0,0.07,1,26,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,0,6,6,6,6,6,5,7,6
19,9,1,1,1,1,0.28,0,21,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,1,7,7,8,8,8,9,6.5,8
19,9,1,2,2,1,0.11,1,24,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,1,8,6,9,9,8,7,8,8
19,9,1,3,3,0,-0.15,1,25,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,1,7,7,6,8,7,7,7,7
19,9,1,4,4,1,-0.47,1,23,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,1,7,7,7,10,9,10,8,8
19,9,1,5,5,1,-0.13,1,21,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,1,5,9,9,9,9,6,7,7
